id,name,num_users,total_cmt,positive,negative,neutral,average_completion_rate,number of resources,rank_binned,course_classification
C_584313,"introduction to ""zi zhi tong jian""",3,NaN,NaN,NaN,NaN,NaN,91,1,NaN
C_584329,calculus - limit theory and functions of one variable,6,NaN,NaN,NaN,NaN,NaN,170,1,NaN
C_584329,calculus - limit theory and functions of one variable,6,NaN,NaN,NaN,NaN,NaN,170,1,NaN
C_584381,photojournalism,5,NaN,NaN,NaN,NaN,NaN,127,1,NaN
C_597208,data mining: theory and algorithms,10,NaN,NaN,NaN,NaN,NaN,125,1,NaN
C_597225,university computer,8,NaN,NaN,NaN,NaN,NaN,165,7,NaN
C_597225,university computer,8,NaN,NaN,NaN,NaN,NaN,165,7,NaN
C_597229,financial analysis and decision-making,6,NaN,NaN,NaN,NaN,NaN,95,1,NaN
C_597291,advanced english writing,4,NaN,NaN,NaN,NaN,NaN,54,7,NaN
C_597291,advanced english writing,4,NaN,NaN,NaN,NaN,NaN,54,7,NaN
C_597291,advanced english writing,4,NaN,NaN,NaN,NaN,NaN,54,7,NaN
C_597307,the rise and fall of the tang dynasty,2,NaN,NaN,NaN,NaN,NaN,65,1,NaN
C_597365,easily master workplace etiquette in five minutes (spring 2019),2,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN
C_597367,fashion makeup and styling (autumn 2018),3,NaN,NaN,NaN,NaN,NaN,24,NaN,NaN
C_645178,test course 0626,4,NaN,NaN,NaN,NaN,NaN,3,1,NaN
C_608132,0526 test single course,2,NaN,NaN,NaN,NaN,NaN,5,1,NaN
C_678165,check the role of test teacher/teaching assistant on the main website,2,NaN,NaN,NaN,NaN,NaN,98,5,NaN
C_678165,check the role of test teacher/teaching assistant on the main website,2,NaN,NaN,NaN,NaN,NaN,98,5,NaN
C_678165,check the role of test teacher/teaching assistant on the main website,2,NaN,NaN,NaN,NaN,NaN,98,5,NaN
C_629513,urban writing of classical literature,1,NaN,NaN,NaN,NaN,NaN,53,NaN,NaN
C_629514,"introduction to ""zi zhi tong jian""",8,NaN,NaN,NaN,NaN,NaN,91,1,NaN
C_629515,the analects of confucius life lesson,2,NaN,NaN,NaN,NaN,NaN,59,NaN,NaN
C_629520,pathophysiology,2,NaN,NaN,NaN,NaN,NaN,47,NaN,NaN
C_629522,medical literature search,2,NaN,NaN,NaN,NaN,NaN,30,5,NaN
C_629522,medical literature search,2,NaN,NaN,NaN,NaN,NaN,30,5,NaN
C_629522,medical literature search,2,NaN,NaN,NaN,NaN,NaN,30,5,NaN
C_629522,medical literature search,2,NaN,NaN,NaN,NaN,NaN,30,5,NaN
C_654397,test series lesson 0710_1,3,NaN,NaN,NaN,NaN,NaN,5,NaN,NaN
C_654551,series course test 4-zm,1,NaN,NaN,NaN,NaN,NaN,340,1,NaN
C_654551,series course test 4-zm,1,NaN,NaN,NaN,NaN,NaN,340,1,NaN
C_654504,series test 1-zm,1,NaN,NaN,NaN,NaN,NaN,226,2,NaN
C_654504,series test 1-zm,1,NaN,NaN,NaN,NaN,NaN,226,2,NaN
C_654505,series course test 2-zm,1,NaN,NaN,NaN,NaN,NaN,96,1,NaN
C_654505,series course test 2-zm,1,NaN,NaN,NaN,NaN,NaN,96,1,NaN
C_654505,series course test 2-zm,1,NaN,NaN,NaN,NaN,NaN,96,1,NaN
C_654505,series course test 2-zm,1,NaN,NaN,NaN,NaN,NaN,96,1,NaN
C_654505,series course test 2-zm,1,NaN,NaN,NaN,NaN,NaN,96,1,NaN
C_654505,series course test 2-zm,1,NaN,NaN,NaN,NaN,NaN,96,1,NaN
C_654505,series course test 2-zm,1,NaN,NaN,NaN,NaN,NaN,96,1,NaN
C_654505,series course test 2-zm,1,NaN,NaN,NaN,NaN,NaN,96,1,NaN
C_654505,series course test 2-zm,1,NaN,NaN,NaN,NaN,NaN,96,1,NaN
C_654505,series course test 2-zm,1,NaN,NaN,NaN,NaN,NaN,96,1,NaN
C_655852,series of courses-completed courses without review time,48,NaN,NaN,NaN,NaN,NaN,162,9,NaN
C_655850,series of classes - class has not started yet,47,NaN,NaN,NaN,NaN,NaN,91,1,NaN
C_654554,series of courses - now starting,47,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN
C_654506,series of courses - the course has ended and there is a review time,47,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN
C_629558,medical immunology and pathogen biology,48,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN
C_629503,information literacy—a required course for academic research (spring 2019),48,NaN,NaN,NaN,NaN,NaN,123,1,NaN
C_629503,information literacy—a required course for academic research (spring 2019),48,NaN,NaN,NaN,NaN,NaN,123,1,NaN
C_629503,information literacy—a required course for academic research (spring 2019),48,NaN,NaN,NaN,NaN,NaN,123,1,NaN
C_629503,information literacy—a required course for academic research (spring 2019),48,NaN,NaN,NaN,NaN,NaN,123,1,NaN
C_629503,information literacy—a required course for academic research (spring 2019),48,NaN,NaN,NaN,NaN,NaN,123,1,NaN
C_597314,college chinese literature - appreciation of literature from the northern song dynasty to modern times,50,NaN,NaN,NaN,NaN,NaN,186,1,NaN
C_670597,zizhi tongjian,1,NaN,NaN,NaN,NaN,NaN,8,1,NaN
C_674903,immortal art: entering the masters and classics,48029,1761.0,650.0,198.0,913.0,NaN,124,1,NaN
C_674903,immortal art: entering the masters and classics,48029,1761.0,650.0,198.0,913.0,NaN,124,1,NaN
