id,name,num_users,total_cmt,positive,negative,neutral,average_completion_rate,number of resources,rank_binned,course_classification
C_735156,comics about marketing,302,14.0,5.0,0.0,9.0,0.6488716941778833,21,4.481595860111844,Dissatisfied
C_1891042,internal medicine - cardiovascular disease,45,0.0,0.0,0.0,0.0,0.6488716941778833,28,4.481595860111844,Dissatisfied
C_697172,ap biology - part 1: the cell,195,0.0,0.0,0.0,0.0,0.6488716941778833,55,2.0,Neutral
C_696925,engineering drawing,1101,2.0,0.0,2.0,0.0,0.650202065169447,82,4.481595860111844,Dissatisfied
C_758183,university chemistry i,10030,1132.0,560.0,59.0,513.0,0.6488716941778833,65,9.0,Neutral
C_801443,world cross-cultural exchange,2508,4.0,1.0,0.0,3.0,0.7425068655791466,124,4.481595860111844,Neutral
C_2290451,clinical epidemiology,974,0.0,0.0,0.0,0.0,0.6488716941778833,65,7.0,Dissatisfied
C_676995,intellectual property law,4337,16.0,4.0,3.0,9.0,0.6488716941778833,64,5.0,Very satisfied
C_682457,embedded system,2905,87.0,16.0,12.0,59.0,0.375,62,6.0,Satisfied
C_682165,pregnancy and disease,620,1.0,1.0,0.0,0.0,0.7328767123287672,57,4.481595860111844,Neutral
C_680871,boat,618,207.0,79.0,7.0,121.0,0.6488716941778833,66,4.481595860111844,Neutral
C_1925901,chinese language,76,0.0,0.0,0.0,0.0,0.6488716941778833,103,4.481595860111844,Dissatisfied
C_2059301,"because of it, fall in love with home - principles of residential area planning",59,0.0,0.0,0.0,0.0,0.6488716941778833,31,4.481595860111844,Dissatisfied
C_696803,first experience with ai skills-natural language processing (baidu yunzhi academy),449,0.0,0.0,0.0,0.0,0.6488716941778833,17,4.481595860111844,Dissatisfied
C_681086,calligraphy appreciation,1115,12.0,7.0,0.0,5.0,0.6488716941778833,45,4.481595860111844,Dissatisfied
C_1766171,critical thinking and critical writing,268,4.0,2.0,0.0,2.0,0.7418465227817747,136,4.0,Neutral
C_735153,microeconomics,1697,10.0,4.0,2.0,4.0,0.6488716941778833,44,4.481595860111844,Satisfied
C_1796396,production engineering,101,0.0,0.0,0.0,0.0,0.6488716941778833,105,4.481595860111844,Dissatisfied
C_677193,entrepreneurship operation drill,988,389.0,167.0,8.0,214.0,0.6488716941778833,59,4.481595860111844,Neutral
C_681585,data analysis on the cloud - implementation and practice of real-time stream processing on aws,82,0.0,0.0,0.0,0.0,0.6488716941778833,5,4.481595860111844,Dissatisfied
C_696759,curling,272,3.0,1.0,0.0,2.0,0.6488716941778833,33,5.0,Dissatisfied
C_2342518,customer relationship management,355,0.0,0.0,0.0,0.0,0.6488716941778833,78,4.481595860111844,Dissatisfied
C_766175,yuetiaoyuemei-catering and beverage knowledge,1455,18.0,2.0,1.0,15.0,0.729385982153212,95,4.481595860111844,Very satisfied
C_696919,circuits and electrical experiments,821,0.0,0.0,0.0,0.0,0.6488716941778833,31,4.481595860111844,Dissatisfied
C_681255,fashion makeup styling,16831,1306.0,777.0,19.0,510.0,0.6323908731148387,45,4.481595860111844,Neutral
C_2059321,diagnostics,68,1.0,1.0,0.0,0.0,0.8213162623539982,44,4.481595860111844,Neutral
C_2316344,medical english vocabulary,200,0.0,0.0,0.0,0.0,0.6488716941778833,54,4.481595860111844,Dissatisfied
C_1756078,advanced english writing guide (international edition),327,2.0,0.0,1.0,1.0,0.6260820272917048,72,1.0,Neutral
C_697195,blockchain application engineer micro degree,96,0.0,0.0,0.0,0.0,0.6488716941778833,75,4.481595860111844,Dissatisfied
C_680937,chinese fun teaching method,9524,302.0,260.0,3.0,39.0,0.6488716941778833,67,9.0,Dissatisfied
C_746985,human factors and culture of design,6943,12.0,3.0,3.0,6.0,0.6488716941778833,66,1.0,Very dissatisfied
C_1907851,electronic circuit drawing and plate making,104,0.0,0.0,0.0,0.0,0.6488716941778833,40,4.481595860111844,Dissatisfied
C_2286960,corporate finance,1028,3.0,2.0,0.0,1.0,0.7155904811369411,49,4.481595860111844,Neutral
C_873858,introduction to solid state physics,882,5.0,1.0,1.0,3.0,0.6488716941778833,31,4.481595860111844,Very dissatisfied
C_735267,engineering project management and practice,1815,47.0,33.0,3.0,11.0,0.6488716941778833,26,7.0,Dissatisfied
C_682487,web creativity and art design,2208,1.0,1.0,0.0,0.0,0.6488716941778833,69,4.481595860111844,Dissatisfied
C_697048,soil mechanics,4455,89.0,15.0,1.0,73.0,0.5828378378378378,136,1.0,Neutral
C_676975,software testing,3269,103.0,17.0,10.0,76.0,0.6535835016449867,51,7.0,Satisfied
C_682637,"networks, groups and markets",1721,12.0,1.0,2.0,9.0,0.6488716941778833,28,9.0,Very dissatisfied
C_948106,college english audio and video iv,5178,501.0,27.0,36.0,438.0,0.7007292947640317,66,4.481595860111844,Very dissatisfied
C_707096,new classroom in the e era - introduction to online education,5952,102.0,29.0,2.0,71.0,0.6488716941778833,62,1.0,Satisfied
C_681330,mobile internet development,700,2.0,1.0,0.0,1.0,0.6488716941778833,27,9.0,Very dissatisfied
C_947239,organic chemistry,1636,608.0,122.0,24.0,462.0,0.5607110470244311,65,4.481595860111844,Neutral
C_697064,decorative pattern,3887,53.0,31.0,2.0,20.0,0.6488716941778833,92,4.481595860111844,Neutral
C_2229902,college sports 1 (basketball),3367,132.0,58.0,0.0,74.0,0.7657532064429523,435,4.481595860111844,Satisfied
C_682335,blue and white painting techniques of the past dynasties,18147,35.0,15.0,1.0,19.0,0.5145652958152959,42,4.0,Neutral
C_2320597,deep learning,40,0.0,0.0,0.0,0.0,0.6488716941778833,19,4.481595860111844,Dissatisfied
C_697214,budgeting software (autonomous mode),6082,320.0,23.0,7.0,290.0,0.6488716941778833,290,4.481595860111844,Very satisfied
C_681114,"hello, psychology",2067,8.0,2.0,1.0,5.0,0.787559203005063,54,4.481595860111844,Very satisfied
C_707127,psychological statistics,14017,332.0,37.0,48.0,247.0,0.6488716941778833,135,4.0,Very dissatisfied
C_735164,academic english for science and engineering,9269,1926.0,991.0,97.0,838.0,0.8780609619244901,105,4.481595860111844,Satisfied
C_681701,mechanical model processing and performance testing,140,0.0,0.0,0.0,0.0,0.6488716941778833,23,4.481595860111844,Dissatisfied
C_2242137,xuetang postgraduate entrance examination open class,953,5.0,3.0,0.0,2.0,0.6488716941778833,10,4.481595860111844,Dissatisfied
C_948244,microbial infections and health,503,0.0,0.0,0.0,0.0,0.6488716941778833,92,4.481595860111844,Dissatisfied
C_948409,big data governance and policy,18336,172.0,48.0,12.0,112.0,0.6488716941778833,62,1.0,Very satisfied
C_797404,liquor tasting and liquor body design,8984,1178.0,168.0,86.0,924.0,0.7845012440028617,86,4.481595860111844,Very satisfied
C_1924403,literature search and paper writing,306,0.0,0.0,0.0,0.0,0.6488716941778833,80,7.0,Dissatisfied
C_1774982,watercolor painting hall,50,1.0,1.0,0.0,0.0,0.3333333333333333,48,4.481595860111844,Very dissatisfied
C_947243,nutrition and food hygiene,6218,1189.0,366.0,189.0,634.0,0.9251980694357884,41,4.481595860111844,Very satisfied
C_682392,distribution operation organization and implementation,1774,1899.0,33.0,44.0,1822.0,0.8444354277554016,119,4.481595860111844,Very dissatisfied
C_696667,facility horticulture,807,8.0,7.0,0.0,1.0,0.6488716941778833,96,7.0,Dissatisfied
C_799783,engineering mechanics,9776,1079.0,397.0,30.0,652.0,0.8251264848805747,145,2.0,Very satisfied
C_823300,university computer tutorials,3095,56.0,11.0,11.0,34.0,0.777048916640597,226,7.0,Very dissatisfied
C_2059293,chemical principles in life (part 2),462,6.0,0.0,0.0,6.0,0.7175954647382256,52,4.481595860111844,Neutral
C_735050,nutrition and health (autonomous mode),2049,31.0,1.0,1.0,29.0,0.6449512783227135,101,4.481595860111844,Very dissatisfied
C_2255517,english level 4 and level 6 lesson 1,2053,4.0,1.0,1.0,2.0,0.6488716941778833,12,4.481595860111844,Very dissatisfied
C_851362,sociolinguistics,15052,64.0,37.0,3.0,24.0,0.7721995464852607,43,11.0,Neutral
C_1784711,introduction to natural science,62,1.0,0.0,0.0,1.0,0.6488716941778833,80,4.481595860111844,Dissatisfied
C_948141,business ethics and corporate social responsibility,8775,50.0,8.0,4.0,38.0,0.6422282255824331,41,9.0,Satisfied
